,competitor_name,country,product_views,product_name_competitor,category_path,brand,list_price_competitor,promo_price_competitor,currency,discount_savings,stock_information,rating,reviews,seller_name,product_description,store_location,match,products_sold,transaction,avg_quality_rating_and_review,avg_accuracy_rating_and_review,total_transaction,list_price_lazada,promo_price_lazada,score,input,error,url_origin
32,Apple SG,Singapore,,iPhone 15 Silicone Case with MagSafe - Soft Mint,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 great protection and a faster wireless charge with the green Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'product_name_en': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
33,Apple SG,Singapore,,iPhone 15 Pro Silicone Case with MagSafe - Soft Mint,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro great protection and a faster wireless charge with the green Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'product_name_en': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
34,Apple SG,Singapore,,Belkin iPhone Mount with MagSafe for Apple TV 4K,Home>Accessories,Apple,75,,SGD,,in stock,,,Apple,The Belkin iPhone Mount with MagSafe for Apple TV 4K attaches to your TV so you can use the rear camera as a webcam and more. Buy now at apple.com,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Nokia 105 DS Pro 4G', 'product_name_en': 'Nokia 105 DS Pro 4G', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
35,Apple SG,Singapore,,iPhone 15 Pro Max Silicone Case with MagSafe - Soft Mint,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro Max great protection and a faster wireless charge with the green Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh Xiaomi 14 (12+256GB)', 'product_name_en': 'Điện thoại thông minh Xiaomi 14 (12+256GB)', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
36,Apple SG,Singapore,,iPhone 15 Plus Silicone Case with MagSafe - Sunshine,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Plus great protection and a faster wireless charge with the yellow Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'iPhone 15 Plus - Hàng Chính Hãng VN/A', 'product_name_en': 'iPhone 15 Plus - Hàng Chính Hãng VN/A', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
37,Apple SG,Singapore,,OtterBox Lumen Series Passport Case for iPhone 15 Plus - London,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,The fastest way to jet from Paris to New York to Tokyo is with the Lumen Series Passport iPhone case. Buy online now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem Sẹo Phẫu Thuật Lancopharm Cesarin Ointment (Made In Germany) Giúp Làm Mờ Sẹo Sau Phẫu Thuật - Tuýp 30g', 'product_name_en': 'Kem Sẹo Phẫu Thuật Lancopharm Cesarin Ointment (Made In Germany) Giúp Làm Mờ Sẹo Sau Phẫu Thuật - Tuýp 30g', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
38,Apple SG,Singapore,,iPhone 15 Pro Max Silicone Case with MagSafe - Sunshine,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro Max great protection and a faster wireless charge with the yellow Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'product_name_en': 'Điện thoại Tecno SPARK 20 Pro Plus (8+8)GB /256GB', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
39,Apple SG,Singapore,,iPhone FineWoven Wallet with MagSafe - Taupe,Home>Accessories,Apple,89.8,,SGD,,in stock,,,Apple,Keep your ID and credit cards close with a taupe FineWoven Wallet with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'product_name_en': 'Kem dưỡng nâng cơ ngừa lão hóa Skincode Cellular Day Cream SPF 15 50ml - MS 5015', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
40,Apple SG,Singapore,,Refurbished 15-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Silver,Home>Accessories,Apple,1739,,SGD,,in stock,,,Apple,The new 15‑inch MacBook Air makes room for more of what you love with a spacious Liquid Retina display. Supercharged by the M2 chip and with up to 18 hours of battery life.³,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh', 'product_name_en': 'Điện thoại thông minh POCO C65 | 6.74"" HD+ 90Hz | Helio G85 | 5000mAh', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
41,Apple SG,Singapore,,iPhone 15 Pro Max Silicone Case with MagSafe - Soft Mint,Home>Accessories,Apple,75.65,,SGD,,in stock,,,Apple,Give your iPhone 15 Pro Max great protection and a faster wireless charge with the green Silicone Case with MagSafe. Buy now at apple.com.,Singapore,Yes,,Online,,,,,,,"{'product_name': 'Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store]', 'product_name_en': 'Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store]', 'brand': '', 'sku': ''}",,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
